菜谱名称,原料
大虾色拉,"大撮番红花,汤匙热水,柠檬,粒蒜头,汤匙白米醋,盐和胡椒,橄榄油(可准备多些,作烘烤用),汤匙隔去水分的水瓜钮,青瓜,新鲜连壳大虾。"
丹麦大肉丸,"（份）肉末（猪,牛肉各半）,面粉,牛奶或冷肉汤,鸡蛋,猪油或菜油,洋葱,精盐小勺,胡椒粉/小勺。"
蛋黄椰蓉塔,"蛋黄,砂糖,椰蓉,蛋清,全蛋。调味料：蛋黄:砂糖:椰蓉:蛋清:全蛋=:.:.:.:.。"
蛋汁吐司,"：厚片吐司片,奶油匙。：蛋,蜂蜜匙。"
德国薯仔沙拉,"熟土豆,生菜,洋葱,芥未酱,精盐,白胡椒粉,马油奶司,熏肉,醋,沙拉油。"
德式黄瓜土豆沙拉,"黄瓜,土豆,醋,精盐,洋葱,胡椒粉。"
德式土豆饼,"豆饼,鸡蛋,面粉,细葱末,植物油,盐,胡椒面各,黄油。"
炖小羊腿,"澳洲小羊腿,阿拉伯小米,芒果酱。"
番茄大米色拉,"番茄,大米,葱头,青椒。调料：色拉油,香菜末,精盐,胡椒粉各,醋精,食糖各。"
番茄芦笋凯撒色拉,"面包粒,芦笋,番茄,芝士。"
蕃茄洋芋饼,"起司/,土豆,绞肉两,意大利蕃茄酱罐,洋葱/,水。调味料：盐/小匙,糖/小匙,胡椒粉/。"
方便油饭,"糯米三柸(电饭锅柸),香菇,猪肉丝,虾米,红葱头。"
凤梨海鲜盅,"凤梨,鲜干贝,虾仁,千岛酱汁：沙拉酱大匙,番茄酱大匙,碎酸黄瓜/茶匙,碎洋葱/茶匙,碎白煮蛋/粒,辣酱/茶匙,拧檬汁/匙,去皮籽之青椒丁/茶匙,白兰地酒/茶匙,盐,胡椒。"
干笋杏仁鲑吐司,"加州杏仁片,鲑鱼肉,干笋（胡萝卜）,面包片,蛋糊,盐,味精,鸡精,淀粉。"
高尔夫,"白脱油,绿椰丝,薄荷奶油。调味料：糕胚:白脱油=:。"
格司布丁,"牛奶,蛋,糖。调味料：制胚：牛奶:蛋:糖=:.:.。"
管壮面,"管壮面,火腿丁,奶酪汁,番茄汁,奶油汁,黄油,小葱(细丁)。"
罐烤面包葱丝汤,"葱头,干酪,面包,牛肉清汤。调料：黄油,面粉,精盐。"
罐烤土豆腊肠板肉,"土豆,腊肠,板肉,鸡蛋。调料：食油,奶油,精盐。"
八宝青蟹饭,",糯米,火腿丁,开洋,白果,花生,冬菇丁,冬笋丁,葱段,姜片,黄酒,盐,清汤（）。"
白拌黄螺,"黄螺肉,葱段.,黄酒.,白糖,白酱油,麻油.。"
白炒响螺,"响螺肉,冬笋片,冬菇片片,葱段,黄酒,盐,菱粉,清汤。"
白蜜黄螺,"鲜活黄螺。蒜米,生油,白糖,味精,香油。"
爆糟排骨,"猪大排骨,红糟,鸡蛋白,葱末,大蒜头瓣,白糖,盐,菱粉,麻油。"
菜包,"青菜,金针菜,笋,精盐,味精,白糖,姜末,生油,麻油各,鲜酵母半块,面粉。"
炒海瓜子,"海瓜子,青辣椒,味精,油,葱花花椒油,香油各。"
炒面线,"面线（又称线面）,精肉,鲜虾,干扁鱼。熟冬笋,香菇朵,红萝卜半根,葱白根,精盐,味精,香油,上汤,花生油（约耗）。"
炒蜇血,"海蜇血,葱段,黄酒., 白糖,酱油,醋,菱粉）,麻油.。"
蛏溜奇,"蛏肉,熟猪肥膘,鸡蛋,葱末,大蒜头瓣,盐,面粉,麻油.。"
葱爆肉丝,"瘦肉,葱（各四两）,红椒（半）,生抽,酒（各一茶匙）,生粉（半茶匙）,油（半汤匙）,盐,糖,生抽,生粉,清水,麻油。"
白汁菜心,"油菜心,干贝,油,冬笋片各,鲜蘑,鸽蛋,姜,葱,精盐。"
葱油饼,"面粉,葱花,,盐,油,花椒粉各。"
蛋拌豆腐,"熟鸡蛋,嫩豆腐,盒,精盐,酱油,味精,蒜泥,葱花和麻油备。"
佛跳墙,"水发鱼翅,净鸭肫,水发刺参,鸽蛋,净肥母鸡,水发花冬菇,水发猪蹄筋,猪肥膘肉,大猪肚,姜片,羊肘,葱段,净火腿腱肉,桂皮,炊发干贝,绍酒,净冬笋,味精,水发鱼唇,冰糖,鲂肚,上等酱油,金钱鲍,猪骨汤,猪蹄尖,熟猪油"
芙蓉干贝,"水发干贝,绍酒.,鸡蛋清,精盐.,葱,味精,姜片,白汤,鲜牛奶。"
干贝水晶鸡,"鸡脯,干贝,鸡蛋白,黄酒,盐.,菱粉。"
干烧牛肉片,"牛肉,芹菜,姜丝,豆瓣酱,辣椒粉,味精,料酒,醋,糖。"
干烧虾,"大虾,木耳丁,葱节豆瓣酱,调料。"
干烧鱼,"鲤鱼,川盐,料酒,猪肥瘦肉末,姜,蒜,泡辣椒,酱油,白糖,胡椒面,葱备。"
蛤蜊鲫鱼,"蛤蜊,鲫鱼条,,葱根,姜片片,胡椒粉,黄酒,盐,清汤。"
豉椒鸡丁,"嫩鸡脯,鸡蛋,干淀粉,葱段,辣油,白糖,酱油,湿淀粉,味精,精盐,黄酒,干辣椒,豆豉,香醋。"
豉椒牛排,"腌好牛排,辣椒块,以蒜茸,葱段,豆豉泥为料头,绍酒,油味料等。"
豉椒肉丝,"熟猪肉,火腿片,菠菜心,黄酒,精盐,猪油,豆豉,花椒,淀粉,,鸡汤。"
豉椒虾,"虾,辣椒段,以蒜茸,葱段,豆豉泥为料头,油味料等。"
海参羹,"水发涨参,猪肉末,冬菇,冬笋,鸡蛋,葱,姜片,胡椒粉,黄酒,酱油,盐油,盐,醋, 菱粉,麻油,鸡蛋。"
海鲜豆腐羹,"豆腐,牛肉,西红柿香菇,葱,木耳,笋丝各,牛肉汤,盐,味精,料酒。"
红豆沙包,"面粉,,鲜酵母半块,红豆沙馅心,糖板油丁。"
红烧狮子头,"半肥瘦猪肉,小棠菜（各十二两）,上汤（半）,老抽,糖（各一茶匙）,盐,生抽（一茶匙）,姜汁,葱汁,生粉,糖,酒（两茶匙）,清水（两汤匙）。"
鸿图鸭,"光鸭（）,火腿片,冬笋片, 鲜菇片,干贝,鸡蛋白,葱,姜片,黄酒,盐,菱粉,鸡蛋。"
荤罗汉,"水发板鱼翅,水发鲍鱼片,水发海参块,鸡肉块,猪蹄子块,干贝,天胎条,水发冬菇,菜心,黄酒,姜片,白酱油。"
鸡茸金丝笋,"将鸡脯肉,净冬笋,猪肥膘肉,鸡蛋,熟火腿,精盐.,味精.,湿淀粉,鸡汤,熟猪油（实耗）。"
鸡汤氽海蚌,"鲜海蚌尖,绍酒,老母鸡,白酱油,鲜牛肉,精盐.,猪里脊肉,味精。"
吉利虾,"鲜对虾,净胡萝卜, 水发香菇,葱白,净冬笋,鲜辣椒,净洋葱,白糖,精盐,湿淀粉,乌醋,桔汁,白醋,绍酒,酱油,味精,鸭蛋,猪骨汤,面粉,芝麻油.,蒜瓣,熟猪油,面包末（约耗）。"
家常烤鸡,"鲜嫩鸡,味精,盐,酒,,花椒,葱,姜,麦芽糖。"
煎明虾段,"明虾,鸡蛋白,葱白,姜米,黄酒,白糖.,白酱油,菱粉,麻油.,清汤。"
金钱肉,"猪腿肉,猪肥膘,黄酒,白糖,酱油,五香粉,菱粉。"
桔烧巴,"猪肥膘,红糟,白糖,盐,红粉,发粉,面粉,麻油。"
桔烧鳗,"海鳗鱼肉,猪肥膘,鸡蛋白,红糟,黄酒,白糖,盐,面粉,麻油。"
咖哩鸡,"公鸡,盐,胡椒粉,洋葱,大蒜头,咖哩酱,月桂树叶,白糖,水果各。"
咖哩牛肉,"牛腿肉,葱头,胡萝卜,芹菜各,咖哩粉,盐,干红葡萄酒,酱油备,面粉,鸡汤,,油,辣椒面,味精,香叶,蒜泥,胡椒粒各。"
扛糟鸡,"嫩母鸡,红糟,葱根,姜片片,黄酒,白糖,盐,菱粉, 清汤。"
扛糟羊肉,"羊肉,红糟,葱根,姜片片,黄酒,白糖,盐,菱粉,清汤。"
拉糟鱼块,"鲜黄鱼（其他肉嫩少骨带鳞鲜鱼亦可）。红糟,蛋清,干淀粉,花椒盐,白糖,味精,料酒,香油,五香粉,葱姜末,花生油（约耗）。"
辣酱面,"面条,猪肉丁,黄酱,辣椒面,葱末,黄酒,麻油,猪油,白糖,酱油,味精各。"
荔枝肉,"猪瘦肉约,净荸荠片,蒜末,葱段,番茄汁。"
莲子鸡丁,"鸡脯肉,油,鸡蛋,白莲子,胡萝卜,四季豆,白糖,料酒,盐,味精,葱姜各。淀粉。"
溜鸽松,"鸽肉,冬笋,水发冬菇片,地栗,鸡蛋白,葱末,黄酒,盐,菱粉,清汤。"
龙凤腿,"虾仁,鸡肉,猪网油块,鸡蛋,鸭脚骨根,地栗,盐,面粉,菱粉。"
龙须燕丸,"燕皮,虾仁,猪腿肉,开洋,地栗,芹菜末,盐,清汤。"
罗汉鸭,"鸭子,冬笋片,水发冬菇片,扁尖笋段,栗子片,腐竹,白果肉,菜心,葱段,姜片,黄酒,白糖,盐,酱油,菱粉,麻油,清汤。"
罗汉鱼首,"花鲢鱼头（）,豆腐块,水发冬菇,鲜莲子,扁尖笋,冬笋,川冬菜,葱段,姜片,黄酒,酱油,白糖,盐,菱粉,麻油,清汤。"
马蹄鸡丁,"鸡肉,马蹄,油,面酱,,料酒,酱油,白糖,盐,味精,鸡蛋,水淀粉,面,香油,,小黄瓜一根,红辣椒。"
闽生果,"花生米,冻猪油,白糖,五香粉,椒盐。"
牛筋煲,"牛筋,,火腿片,红枣六粒去核,甘笋,姜少量,上汤,蚝油,生抽,糖,盐,酒备,生粉,老抽,麻油,古月粉。"
七星鱼丸汤,"净海鳗鱼肉,香油,鲜虾仁,精盐,干淀粉,高汤,五花猪肉,胡椒粉,味精,芥菜末。"
炝糟鸡脯,"鸡脯,红糟,鲜蘑菇片,鸡蛋白,鸡蛋黄,熟洋山芋,黄酒,黄瓜,盐,白糖,清汤, 菱粉。"
茄汁鸡肉,"嫩鸡肉,番茄酱,绍酒,酱油,白糖,,小苏打,淀粉,胡椒粉,,葱姜片,姜末,花生油,黄酒味精。"
茄汁牛排,"猪排,绍酒,花椒盐备,,酱油,味精,,干淀粉,鸡蛋,猪油,,番茄汁。"
茄汁猪排,"猪排,绍酒,花椒盐备,,酱油,味精,,干淀粉,鸡蛋,猪油,,番茄汁。"
青菜汤,"嫩白菜心,胡萝卜丝,,好鸡汤,,盐,味精,葱,姜各,料酒。"
清炒海蚌,"海蚌肉,青菜心,水发香菇,胡萝卜,盐,黄酒,菱粉,清汤。"
清炒芦笋,"芦笋,葱粒,,盐,淀粉,料酒,醋。"
清炒虾仁,"虾仁,熟胡萝卜丁,青豆,花生油,精盐,味精,,干淀粉,豆芽汤,水淀粉,,麻油。"
清炖全鸡,"肥嫩母鸡,精盐,味精,水发香菇,姜片,绍酒。"
清蒸桂鱼,"桂鱼条,开洋,水发冬菇片片,冬笋片,葱,姜片,黄酒.,白糖.,酱油,盐,清汤。"
肉米鱼唇,"水发鱼唇,猪腿肉,猪排,葱根,姜片,胡椒粉,黄酒,酱油,盐,醋,菱粉,麻油,清汤。"
肉松,"瘦猪腿肉,红糟,黄酒,白糖,清汤。"
沙茶焖鸭块,"鸭（左右）,沙茶酱,葱段,水发香菇,马铃薯,姜片,蒜泥,辣椒粉,绍酒,白糖,酱油,味精,湿淀粉,猪骨汤,熟鸡油,熟猪油（实耗）。"
沙茶牛肉,"牛肉,沙茶酱,香菇,蒜泥,绍酒备,酱油,花生油,白糖,酱油,湿淀粉味精,辣椒粉,鸡油备,,小苏打,胡椒粉,。"
沙锅鳝鱼,"鳝鱼八两,烧腩二两,冬菇四,蒜肉六粒,姜数片葱二条切丝,生粉酌量,生菜六两麻油,古月粉,盐。"
沙锅鱿鱼,"鱿鱼八两,烧腩二两,冬菇四,蒜肉六粒,姜数片葱二条切丝,生粉酌量,生菜六两麻油,胡椒粉,盐各。"
什锦鸡菜煲,"鸡十二两,葱十五条,姜十数片,云耳半两,山根十,玉米笋,菜胆,胡萝卜,红枣,盐糖,生抽,老抽姜汁,酒,生粉,蚝油备。"
素炒鸡丁,"净鸡肉,鸡蛋,青椒,植物油,淀粉,精盐,黄酒,味精。"
酸菜牛,"腌牛肉,酸菜茎薄片,以葱自,辣椒,蒜茸为配料,油味料等。"
台湾炒饭,"熟虾肉,叉烧细丁,冬菇丁,葱花,,净蛋,油,精盐,味精,白饭。"
豌豆鸡丝,"鸡脯肉,豌豆,油,蛋清,料酒,盐,味精,白糖,水淀粉,汤。"
五彩虾松,"主辅料：鲜虾,净冬笋,葱白根,水发冬菇朵,青椒半,红萝卜。调配料：鸡蛋清半,蒜头瓣,干淀粉,湿淀粉,白糖,精盐,味精,料酒,胡椒粉,骨汤,生油（耗）。"
西瓜盅,"西瓜,菠萝,荔枝,清水,白糖,桂花,桔子瓣。"
虾仁饭煲,"大米两,虾仁两,油菜二棵,火腿,酒一汤匙,磨鼓半汤匙,姜数片,生抽,盐,古月粉生粉半茶匙,葱。"
虾仁汤河粉,"河粉一斤,虾仁三两,韭菜三两,切短段,银芽二两,鸭蛋二打匀,油三汤匙,盐。"
香油石鳞,"石鳞,干淀粉,青椒,红,绿樱桃各,香油适且,味糟,葱 ,姜各。"
一品鲳,"鲳鱼,干淀粉,白糖,胡椒粉.,酱油,猪骨汤,花生油,蒜瓣,绍酒,咖喱粉.,香醋,味精,芝麻油。"
银耳川鸭,"银耳半两,鸭六两,红萝卜花数片,姜,葱,上汤上,芡汁料：盐,糖,老抽,生抽,生粉,上汤,麻油。"
银杏芋泥,"银杏二两,槟榔芋约.斤,葱三棵,冰糖六两,清水两。"
油条西舌,"西舌肉,油条条,葱段,黄酒,盐,菱粉,清汤。"
鱼腩煲,"鱼脯一斤,萝卜一斤,姜数片,蒜茸一汤匙,南乳半汤匙,磨鼓一汤匙,葱三条切段,酒汤匙,香菜棵,豆腐,盐,糖,生抽,老抽,果皮八角,生粉各。"
糟片鸭,"熟肥嫩鸭（约重）,香菜,姜末,干淀粉,香糟,五香粉.,绍酒,白糖,白酱油,味精.,芝麻油.,花生油（约耗）。"
炸八块,"嫩母鸡,,葱末,姜米,黄酒,白糖.,酱油,菱粉.,麻油。"
炸鸡排,"鸡大腿,鸡蛋,干面粉,精盐,面包屑,胡椒粉,熟猪油。"
芝麻豆腐,"黄豆嫩豆腐,黄牛肉,菜油,蒜苗各,,芝麻,花椒面各,酱油,湿淀粉备,精盐,,鲜汤。"
猪排汤河粉,"河粉一斤,瘦猪肉三两,韭菜三两切短段,银芽二两,鸭蛋二打匀,油三汤匙盐。"
紫盖肉,"五花猪肉块,,鸡蛋,黄酒,白糖,酱油,菱粉,面粉,清汤。"
醉排骨,"猪大排骨,大蒜头,鸡蛋白,咖喱粉,芥末,胡椒粉,黄酒,白糖,酱油,辣酱油,盐,芝麻酱,番茄酱,醋,菱粉,麻油。"
蛋的蛋卷,"鸡蛋打好的,火腿,细丁,奶酪粉,蘑菇细丁,熏三文鱼,细丁,番茄,去皮,去籽,混和鲜香草丁,并炒过的,洋葱,去皮细丁,炒过,黄油或菜油,薯条包,沙拉装饰,面包,份装黄油,盐调至够味,白胡椒调至够味。"
奥地利式烤牛肉扒,"净牛外脊,油,黄油,鲜西红柿,芹菜,鲜蘑,计司,盐,胡椒粉。"
扒海鲜串配香草黄油,"三文鱼柳,块,雪鱼柳,块,大虾,去皮,无头,带尾,带子,冻,洋葱,丁,混合甜椒丁,柠檬香草腌汁,青柠香草黄油,红花米饭包,时令蔬菜包,时令配菜,番茄(辣)酱汁,盐调至够味,白胡椒粉调至够味,青柠半,沙拉装饰,面包,份装黄油。"
扒龙虾配榛子油,"半龙虾,-公斤,去肠,稍微浸泡-分钟,洋葱细碎,大蒜细碎,黄油,榛子油,洋子苏细碎,香菜,细碎,小葱细碎,辣红粉,切割的西柚肉及汁,喔彻斯特汁,干雪利酒,西柚皮屑,漂白,装饰,榛子,细碎,烩饭（辣椒和蘑菇）包,时令沙拉,沙拉汁,沙拉装饰,面包卷,简装黄油。"
扒美国肉眼,"肉眼排,带骨修净,绿胡椒胡椒,黄油,柠檬汁,柠檬屑,焯过的,橄榄油鲜萝丝玛林,碎,百里香,碎香,洋紫苏,鲜,阿里根农,鲜碎,大蒜细碎,意大利炸土豆包,时令蔬菜包,香草黄油汁,面包,份装黄油,扒制番茄,盐调至够味,黑胡椒,碎调至够味,沙拉装饰。"
扒酿馅小牛排,"小牛柳排,野蘑菇酱,瘦的熏肉片（意大利）,干番茄及热的洋紫苏汁,土豆饼（厘米）,时令沙拉,沙拉汁,法香汁,香草黄油汁,面包,份装黄油,盐调至够味,黑胡椒粉调至够味,焯的柠檬屑,混合香草,橄榄油,英国芥末,柠檬汁,大蒜酱。"
扒新西兰羊排配黄油及冷番茄酱,"新西兰羊排(片),辣黄油,冷番茄酱,盐调至够味,黑胡椒粉调至够味,地壮或英式芥末,蒜酱,萝丝马林（干或鲜）,百里香（干或鲜）,马左林（干或鲜）,橄榄油,柠檬/,薯条或其他土豆包,时令蔬菜包,时令配沙拉,扒番茄,沙拉装饰,沙拉汁,面包,份装黄油。"
扒鸭胸配青柠花生汁,"鸭胸,日本汁,绿色蔬菜色拉,小西红柿,香料,青柠花生汁,花生料汁.升,花生汁,青柠汁,柠檬汁,黄油,醋,蜂蜜,小洋葱,红胡椒粒,香料,小葱碎,香菜碎,蒜蓉,盐调至够味,白胡椒调至够味。"
扒猪排配香草,"猪排一块,带一块骨,橄榄油,萝丝马林,干的,百里香干或鲜,阿里哏农干或鲜,杨紫苏,干或鲜花,辣椒籽,干或鲜,茴香籽,干或鲜,芥末英式,蒜酱,盐调至够味,黑胡椒粉调至够味,意大利炸土豆(角,皮)包,时令蔬菜包,时令配蔬菜,沙拉装饰,意大利酱汁,面包,黄油,沙拉装饰,柠檬(浓缩汁)/。"
白法西红柿,"西红柿,黄瓜,葱头未,姜末,熟芹菜末,盐,味精,水淀粉,沙拉油各。"
白毫牛腩,"主材料：白毫乌龙茶,猴头菇。配料：霉干菜,素火腿片,青茶心棵。调味料：酱油茶匙,糖汤匙,姜未,辣油汤匙,盐/茶匙,糖汤匙,面粉/茶匙,淀粉/茶匙。"
白毫乌龙烤青蟹,"主材料：青蟹,白毫乌龙菜叶。配料：大蒜头瓣,洋葱,锡箔纸张。调味料：苦茶油大匙,盐/茶匙,酒茶匙,黑胡椒。"
白脱柠檬布丁,"低筋粉,糖粉,油脂,蛋,牛奶,发粉,吉士粉,蛋黄。制胚：低筋粉:糖粉:油脂:蛋:牛奶:发粉=:.:.:.:.:.,制柠檬沙司：牛奶:糖:玉米淀粉:吉士粉:蛋黄=:.:.:.:.,将玉米淀粉,吉士粉及砂糖搅匀冲入煮沸的牛奶,搅匀后在火上烧至薄糊状,加入柠檬汁,柠檬皮。"
柏林猪酸白菜,"带皮猪腿肉,胡萝卜,葱头,芹菜,白菜,净土豆,香叶片,糠,醋精,盐,茴香籽,油,清汤。"
板肉鸡蛋面片,"鸡蛋,面粉,牛奶,板肉。调料：黄油,干酪末,精盐。"
拌萝卜丝,"萝卜,精盐,生菜油,洋葱,胡椒粉,醋精,糖。"
海虹虾配红花汁,"洋葱细丁,大蒜细丁,橄榄油,红花丝,黄油,白酒,鱼汤,带壳海虹洗涤好并除去杂须的,虾,带尾去皮及肠,头的,番茄,去壳切为四分之一,黑胡椒,去核切成四分之一,香料酱,柠檬汁,香菜,碎,混合鲜面条,盐,碎调至够味,黑胡椒,碎调至够味,帕玛山奶酪,小葱,细碎,黄油份装,时令沙拉,沙拉汁毫"
海绵拼花,"苹果酱,清全利冻。"
海鲜汤,"海鲜壳（虾,龙虾或蟹）,洋葱碎,黄油,蒜碎,红粉,番茄酱,白兰地,面粉,鱼汤/升,浓奶油,温升,带子,净,煮,虾,净煮,蟹肉,冻丁,混合香草,干雪利酒,喔彻斯特汁,辣椒籽汁,盐调至够味,白胡椒调至够味,小葱细丁。"
黑豆饼配炒蟹肉玉米,"黑豆浸泡,火腿关节熏的.公斤,香料包,洋葱细的,鸡汤升,鸡蛋打的,面粉,盐,白胡椒,蟹肉,精选,玉米粒,橄榄油,鲜香菜,细碎,番茄酱汁。"
黑人鱼沙拉,"蟹肉,大虾,马油乃司,生菜,青豆,番茄,土豆,洋葱,口蘑,鲜橙（或白兰瓜）半,精盐,白胡椒粉,柠檬汁,红樱桃。"
黑森林马铃薯色拉,"红皮马铃薯,千,盐,胡椒,韦斯特菲火腿薄片,香芹菜-束,芫荽子酱汁,小红洋葱,陈醋汤匙,酸奶油汤匙,芥末酱汤匙,芫荽子茶匙,红花子油。"
红白卷心菜丝色拉,"白卷心菜,红卷心菜,陈醋,柠檬汁。"
红菜头沙拉,"红菜头,花叶生菜,羊奶酪,红酒醋汁。"
红茶煎腓力,"主材料：红茶,腓力。配料：培根片,大红辣椒,洋葱/,洋芹根碎牛肉,马铃薯。调味料：红酒大匙,鲜奶油茶匙,酱油茶匙白胡椒粉,糖/茶匙,盐/茶匙。"
红烩菜花,"菜花,胡萝卜,西红柿,蒜,醋精,精盐,番茄酱,胡椒粒粒,洋葱,香叶片,芹菜,干辣椒,糖。"
红酒烩牛肚,"牛肚,芹菜,胡萝卜,葱头,土豆。调料：食油,红酒,香叶片,大蒜,番茄,油炒面粉面,精盐,胡椒粉。"
棒棒鸡,"嫩鸡,芝麻酱,红油辣椒,糖,麻酱油,花椒粉,葱白丝。"
红腰豆甜粟辣椒色拉,"干红腰豆,洋葱,粒丁香粒,束香草束（包括-棵香芹菜梗,-根百里香及片月桂叶）,盐,胡椒,新鲜粟米,红甜椒,青甜椒,黄甜椒,番茄,片墨西哥玉米饼,/茶匙辣椒粉,辛辣油醋汁,束新鲜芫荽,苹果醋,/茶匙小茴香粉,小青辣椒,红花子油（用于玉米饼及烤盘）。"
花式巧力酥,"巧力,白脱奶油。"
欢喜饭团,半片烤紫菜饭芝麻或芝麻粉（或花生粉）。调味料：胡椒盐。
皇式清汤,"熟鸡脯肉,熟火腿肉,鸡蛋,炸面包丁。调料：雪梨酒,鸡清汤,精盐,胡椒粉各。"
黄玫瑰,"白脱油,柠檬汁。"
茴香核桃香梨色拉,"核桃粒,大茴香,成熟的梨,柠檬,高根疏拿蓝芝士酱汁,高根疏拿蓝芝士,陈醋,盐,胡椒,橄榄油。"
惠灵顿羊排,"羊排,酥皮,牛奶,土豆粉,大蒜肉,整蒜,青椒,红椒,白萝卜,胡萝卜各,醋油汁,法式粒状芥末,橄榄油（蚝油）。"
火腿蛋卷,"鸡蛋枚,方火腿,黄油,西兰花。"
火腿杏仁糯米粽,"糯米,加州杏,金华火腿,盐,苇叶。"
